ts,open,high,low,close,volume,oi
2026-07-15 11:21:00+05:30,93.75,96.2,92.65,94.95,175890,5952115
2026-07-15 11:22:00+05:30,94.95,95.3,91.25,93.75,225680,5995860
2026-07-15 11:23:00+05:30,93.8,93.85,92.0,92.75,116870,6018935
2026-07-15 11:24:00+05:30,92.8,94.9,92.75,94.5,91650,6035250
2026-07-15 11:25:00+05:30,94.7,97.75,94.55,97.15,229840,5988905
2026-07-15 11:26:00+05:30,97.15,99.15,96.5,97.65,188240,5989880
2026-07-15 11:27:00+05:30,97.6,98.7,95.65,96.3,150930,6028100
2026-07-15 11:28:00+05:30,96.45,102.7,96.2,102.05,350025,6031025
2026-07-15 11:29:00+05:30,102.0,104.9,101.6,103.7,496145,5899790
2026-07-15 11:30:00+05:30,103.5,104.5,101.05,102.5,369200,5899790
2026-07-15 11:31:00+05:30,102.4,103.15,101.3,101.8,126230,5888480
2026-07-15 11:32:00+05:30,102.05,105.85,101.3,105.55,328315,5894135
2026-07-15 11:33:00+05:30,105.5,107.9,105.0,105.3,469755,5894135
2026-07-15 11:34:00+05:30,105.4,108.25,105.1,107.35,269425,5895370
2026-07-15 11:35:00+05:30,107.25,108.45,105.85,106.5,250705,5821595
2026-07-15 11:36:00+05:30,106.55,106.8,103.2,103.25,258505,5820165
2026-07-15 11:37:00+05:30,103.45,105.2,102.3,102.7,156390,5844605
2026-07-15 11:38:00+05:30,102.75,104.15,100.55,100.55,192335,5865015
2026-07-15 11:39:00+05:30,100.75,101.1,98.0,99.0,290485,5821270
2026-07-15 11:40:00+05:30,99.0,100.05,95.6,97.6,339950,5850520
2026-07-15 11:41:00+05:30,97.8,99.9,97.15,97.5,169585,5850520
2026-07-15 11:42:00+05:30,97.6,97.95,95.2,95.75,165035,5877235
2026-07-15 11:43:00+05:30,95.85,96.35,93.05,94.35,295230,5863845
2026-07-15 11:44:00+05:30,94.05,94.6,91.0,91.35,326235,5976620
2026-07-15 11:45:00+05:30,91.05,94.35,90.7,94.35,307840,5976620
2026-07-15 11:46:00+05:30,94.35,95.0,92.4,93.05,249210,6025370
2026-07-15 11:47:00+05:30,93.05,94.2,91.6,91.8,159380,6089395
2026-07-15 11:48:00+05:30,91.9,93.0,91.6,92.0,110890,6146140
2026-07-15 11:49:00+05:30,91.95,93.0,91.7,92.8,114010,6146140
2026-07-15 11:50:00+05:30,92.65,93.1,90.25,91.9,239655,6114680
2026-07-15 11:51:00+05:30,91.85,92.25,87.4,89.25,523705,6122740
2026-07-15 11:52:00+05:30,88.95,93.4,88.2,92.75,329095,6156410
2026-07-15 11:53:00+05:30,92.95,94.75,92.55,94.15,382980,6159075
2026-07-15 11:54:00+05:30,94.4,94.5,92.5,93.3,194285,6203015
